stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES,PROJECTION_FLAG,DTSA_DECISIONS,DTSA_DISAGREEMENTS,DTSA_DISAGREEMENT_FRACTION,AGE_GAIN_ELIGIBLE,ZMAC_OWNER_ATTEMPTS,ZMAC_CONTENTION_ATTEMPTS,DELTA_FINAL_PHASE,PUBLIC_FEEDBACK_COUNT,PUBLIC_FEEDBACK_AIRTIME,CHARGED_OFFERED_UTIL,MECHANISM_ACTIVATIONS,cellRole,controlReach,DISTRIBUTED_FLAG,IDEAL_FLAG,EXP21_TRACE_HASH_EXACT,RESERVATION_EPOCHS,CONTROL_FRAMES,CONTROL_REQUEST_FRAMES,CONTROL_RESPONSE_FRAMES,CONTROL_COMMIT_FRAMES,CONTROL_RECIPIENT_ATTEMPTS,CONTROL_RECIPIENT_SUCCESS,CONTROL_RECIPIENT_LOSS,CONTROL_ACCOUNTING_CLOSE,CONTROL_AIRTIME,CONTROL_OVERHEAD_FRACTION,RESERVATION_NACKS,RESERVATION_MIGRATIONS,RESERVATION_SCHEDULE_CHANGES,SCHEDULE_CONFLICT_FRACTION,FIRST_CONVERGENCE_SEC,CONVERGED_BY_2SEC,CHURN_APPLIED,CHURN_RECOVERY_SEC,RECOVERED_BY_2SEC,FINAL_ASSIGNED_NODES,FINAL_FULL_UNIQUE,MAX_ABS_CLOCK_OFFSET_SEC,MAX_ABS_CLOCK_DRIFT_PPM,LOCAL_SCHEDULE_ONLY,EXP21C_TRACE_HASH_EXACT,CONTINUOUS_START_OPPORTUNITIES,CONTINUOUS_START_ATTEMPTS,CONTINUOUS_GUARD_SEC,CONTINUOUS_SLOT_SEC,CONTINUOUS_SYNC_SEC,CONTINUOUS_MAX_CLOCK_RESIDUAL,CONTINUOUS_MAX_OFFSET_BOUND_SEC,CONTINUOUS_MAX_DRIFT_BOUND_PPM,CONTINUOUS_REALIZED_MAX_DRIFT_PPM,CONTINUOUS_EXACT_AIRTIME
development-model-integration,16032001,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,ideal-tdma-p8p333,1,NaN,periodic,Ideal TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0936467955605872,0.47602261465098,0,0,9.8071698667495,12.5207424769242,0,1.03651248368721,0.131741293532338,0.340000000000002,0.56,0.719999999999999,NaN,NaN,500,500,419,0,0,900,622,278,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,34.9166666666667,51.8333333333333,0,0.00800000000000013,0.016,NaN,NaN,0.98273671247446,900,0,0.318888888888889,0,0.311148141976337,0.293721046492251,2.5833995,0,1155160,21809298723,110997405,0,251621748,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,8.33333333333333,NaN,6.98333333333333,5.83333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.166666666666667,500,nominal,full,0,1,503397231801,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1,188694897472,0,0,0,0,Inf,0,0,0,0,0
development-model-integration,16032001,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,continuous-zero-clock,2,0,periodic,Continuous local TDMA zero clock,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0935044992001313,0.479662577488568,0,0,9.8071698667495,12.9956917716266,0,1.03658966651304,0.134328358208955,0.38,0.56,0.719999999999999,NaN,NaN,500,500,420,0,0,900,610,290,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.127999999999981,0,0,0,0.12672260559751,0.159579767396601,0,0,0,0,0,0.127999999999999,1.53599999999999,0,0,0,0,0.307199999999998,35,50.8333333333333,0,0.00797183999999964,0.0149119999999998,NaN,NaN,0.987018800358102,900,0,0.333333333333333,0,0.311148141976337,0.293721046492251,2.739257,0,1155160,21809298723,110997405,0,249801639,aloha,integration-zero,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,7,6.08333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.127999999999999,500,nominal,full,0,0,503397231801,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188694897472,3888,500,0,0.003072,0.5,8.88178419700125e-16,0,0,0,1
development-model-integration,16032001,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,continuous-clock-unguarded,3,0,periodic,Continuous local TDMA unguarded clock,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.460704839919302,0.150666355818936,1,0,9.74739974630963,13.0022698104626,0,1.0364121337919,0.694129353233831,2.18,3,3.24,NaN,NaN,500,1221,130,0,0,2184,194,1990,0,0,0,0,0,0,1063,0.870597870597871,0,0,721,0,1,32,32,0,0,0,0,0,0,0,0.304688542448202,0,0,0,0.313324137516633,0.395642438724607,0,0,0,0,0,0.312575999999997,3.75091199999996,0,0,0,0,0.750182399999993,10.8333333333333,16.1666666666667,0,0.0218397588947725,0.0440874945655751,NaN,NaN,0.900372935535429,2184,0,0.315934065934066,0,0.311148141976337,0.293721046492251,2.8557233,0,1155160,21809298723,110997405,0,250322223,aloha,integration-witness,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,2.16666666666667,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1221,NaN,NaN,NaN,0,0,1,1063,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.312575999999997,1221,nominal,full,0,0,503397231801,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188694897472,3880,1221,0,0.003072,0.5,8.88178419700125e-16,0.00025,40,39.6214764366312,1
development-model-integration,16032001,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,continuous-clock-safe-guard,4,1,periodic,Continuous local TDMA safe guard,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0896464735141809,0.488232868950785,0,0,9.8071698667495,12.5245271769148,0,1.03656962148837,0.128092868988391,0.34,0.538400000000001,0.6,NaN,NaN,500,500,418,0,0,900,620,280,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.127999999999984,0,0,0,0.127680991570884,0.159184349229498,0,0,0,0,0,0.127999999999999,1.53599999999999,0,0,0,0,0.307199999999998,34.8333333333333,51.6666666666667,0,0.00903989440205207,0.0172360796701484,NaN,NaN,0.981264742221723,900,0,0.336666666666667,0,0.311148141976337,0.293721046492251,2.0154955,0,1155160,21809298723,110997405,0,250348005,aloha,integration-safe,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,6.96666666666667,5.58333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.127999999999999,500,nominal,full,0,0,503397231801,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188694897472,3304,500,0.000540021600864035,0.00361202160086403,0.5,8.88178419700125e-16,0.00025,40,39.6214764366312,1
development-model-integration,16032001,n10-moderate,N10 Moderate,EXP21C closed-loop timing integration,ideal-tdma-p8p333,1,NaN,periodic,Ideal TDMA 8.333 Hz,none,10,ring2,di,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.100991633085048,0.504437327557037,0,0,NaN,NaN,NaN,NaN,0.0913148542999291,0.199999999999999,0.26,0.5,NaN,NaN,1000,1000,974,0,0,2100,1901,199,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.3333333333333,0,0,0,0.332921606271421,0.387853540102323,0,0,0,0,0,0.333333333333334,4,0,0,0,0,0.800000000000001,81.1666666666667,158.416666666667,0,0.0180000000000001,0.036,NaN,NaN,0.997850050488051,2100,0,0.0966666666666667,0,0.102472087985336,0.0982294617563739,3.0155311,0,893778,84917233869,410907084,0,261941665,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,8.33333333333333,NaN,8.11666666666667,7.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.333333333333334,1000,nominal,full,0,1,1951202818862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1,691858020030,0,0,0,0,Inf,0,0,0,0,0
development-model-integration,16032001,n10-moderate,N10 Moderate,EXP21C closed-loop timing integration,continuous-zero-clock,2,0,periodic,Continuous local TDMA zero clock,none,10,ring2,di,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.102700211321557,0.49524537017639,0,0,NaN,NaN,NaN,NaN,0.0966595593461266,0.220000000000001,0.296000000000003,0.48,NaN,NaN,1000,1000,972,0,0,2100,1889,211,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.255999999999957,0,0,0,0.253935998187155,0.296877789893317,0,0,0,0,0,0.255999999999998,3.07199999999997,0,0,0,0,0.614399999999994,81,157.416666666667,0,0.0158214399999992,0.0300799999999948,NaN,NaN,0.998461278322624,2100,0,0.0971428571428571,0,0.102472087985336,0.0982294617563739,3.046422,0,893778,84917233869,410907084,0,260121556,aloha,integration-zero,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,8.1,7.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.255999999999998,1000,nominal,full,0,0,1951202818862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691858020030,3888,1000,0,0.003072,0.5,8.88178419700125e-16,0,0,0,1
development-model-integration,16032001,n10-moderate,N10 Moderate,EXP21C closed-loop timing integration,continuous-clock-unguarded,3,0,periodic,Continuous local TDMA unguarded clock,none,10,ring2,di,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.50680346511448,0.102698931898887,1,0,NaN,NaN,NaN,NaN,0.541975835110164,1.42,1.64,2.5,NaN,NaN,1000,2519,272,0,0,5314,533,4781,0,0,0,0,0,0,2238,0.88844779674474,0,0,1519,0,1,32,32,0,0,0,0,0,0,0,0.626909999222138,0,0,0,0.622886604614626,0.718470018921606,0,0,0,0,0,0.644864000000038,7.73836800000046,0,0,0,0,1.54767360000009,22.6666666666667,44.4166666666667,0,0.043676580699542,0.0873892278616459,NaN,NaN,0.960083052167143,5314,0,0.0935265336846067,0,0.102472087985336,0.0982294617563739,3.7764898,0,893778,84917233869,410907084,0,260642140,aloha,integration-witness,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,2.26666666666667,1.41666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2519,NaN,NaN,NaN,0,0,1,2238,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.644864000000038,2519,nominal,full,0,0,1951202818862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691858020030,3876,2519,0,0.003072,0.5,8.88178419700125e-16,0.00025,40,34.3381425937601,1
development-model-integration,16032001,n10-moderate,N10 Moderate,EXP21C closed-loop timing integration,continuous-clock-safe-guard,4,1,periodic,Continuous local TDMA safe guard,none,10,ring2,di,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.100710567157875,0.496944056366858,0,0,NaN,NaN,NaN,NaN,0.0944705046197584,0.200000000000001,0.299999999999999,0.479999999999999,NaN,NaN,1000,1000,968,0,0,2100,1909,191,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.255999999999969,0,0,0,0.255727087881285,0.304666503195064,0,0,0,0,0,0.255999999999998,3.07199999999997,0,0,0,0,0.614399999999994,80.6666666666667,159.083333333333,0,0.0183957408197157,0.0348233911477747,NaN,NaN,0.99751320047692,2100,0,0.0980952380952381,0,0.102472087985336,0.0982294617563739,2.4959368,0,893778,84917233869,410907084,0,260667922,aloha,integration-safe,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,8.06666666666667,7.16666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.255999999999998,1000,nominal,full,0,0,1951202818862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691858020030,3300,1000,0.000540021600864035,0.00361202160086403,0.5,8.88178419700125e-16,0.00025,40,34.3381425937601,1
development-model-integration,16032002,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,ideal-tdma-p8p333,1,NaN,periodic,Ideal TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0832684537274918,0.482107635230098,0,0,9.8071698667495,12.452700880589,0,1.03658555510373,0.125771144278607,0.34,0.459999999999999,0.6,NaN,NaN,500,500,419,0,0,900,631,269,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,34.9166666666667,52.5833333333333,0,0.00800000000000013,0.016,NaN,NaN,0.9788464219007,900,0,0.307777777777778,0,0.289258456923846,0.297267122146309,2.5584189,0,1068825,21775874408,110997405,0,251621750,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,8.33333333333333,NaN,6.98333333333333,5.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.166666666666667,500,nominal,full,0,1,503429716666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1,188971064524,0,0,0,0,Inf,0,0,0,0,0
development-model-integration,16032002,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,continuous-zero-clock,2,0,periodic,Continuous local TDMA zero clock,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0800057175170096,0.501286759851023,0,0,9.8071698667495,12.452700880589,0,1.03658695612788,0.126169154228856,0.32,0.48,0.719999999999999,NaN,NaN,500,500,438,0,0,900,640,260,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.127999999999981,0,0,0,0.12672260559751,0.159579767396601,0,0,0,0,0,0.127999999999999,1.53599999999999,0,0,0,0,0.307199999999998,36.5,53.3333333333333,0,0.00797183999999964,0.0149119999999998,NaN,NaN,0.985381889157122,900,0,0.297777777777778,0,0.289258456923846,0.297267122146309,2.7409311,0,1068825,21775874408,110997405,0,249801641,aloha,integration-zero,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,7.3,5.91666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.127999999999999,500,nominal,full,0,0,503429716666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188971064524,3888,500,0,0.003072,0.5,8.88178419700125e-16,0,0,0,1
development-model-integration,16032002,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,continuous-clock-unguarded,3,0,periodic,Continuous local TDMA unguarded clock,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.342273610604064,0.230787199298785,1,0,10.0329424832116,13.972200041265,0,1.03671322260865,0.580497512437811,1.54,1.86,2.16,NaN,NaN,500,1245,121,0,0,2222,184,2038,0,0,0,0,0,0,1101,0.88433734939759,0,0,745,0,1,32,32,0,0,0,0,0,0,0,0.309425411377429,0,0,0,0.294983474506756,0.395872002233541,0,0,0,0,0,0.318719999999997,3.82463999999996,0,0,0,0,0.764927999999993,10.0833333333333,15.3333333333333,0,0.0219951014966346,0.0440367503672238,NaN,NaN,0.927526132404181,2222,0,0.293879387938794,0,0.289258456923846,0.297267122146309,2.8856825,0,1068825,21775874408,110997405,0,250322225,aloha,integration-witness,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,2.01666666666667,1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1245,NaN,NaN,NaN,0,0,1,1101,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.318719999999997,1245,nominal,full,0,0,503429716666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188971064524,3875,1245,0,0.003072,0.5,8.88178419700125e-16,0.00025,40,39.4434183295062,1
development-model-integration,16032002,n5-stressed,N5 Stressed,EXP21C closed-loop timing integration,continuous-clock-safe-guard,4,1,periodic,Continuous local TDMA safe guard,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0785991407039614,0.500534714723891,0,0,9.74739974630963,13.1269271563201,0,1.03657011597323,0.122321724709784,0.32,0.460000000000001,0.720000000000001,NaN,NaN,500,500,434,0,0,900,645,255,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.127999999999985,0,0,0,0.128541918884334,0.162292486562692,0,0,0,0,0,0.127999999999999,1.53599999999999,0,0,0,0,0.307199999999998,36.1666666666667,53.75,0,0.00906530454116226,0.0172639579871093,NaN,NaN,0.983941910881262,900,0,0.296666666666667,0,0.289258456923846,0.297267122146309,2.0003641,0,1068825,21775874408,110997405,0,250348007,aloha,integration-safe,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,7.23333333333333,5.66666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.127999999999999,500,nominal,full,0,0,503429716666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188971064524,3299,500,0.000540021600864035,0.00361202160086403,0.5,8.88178419700125e-16,0.00025,40,39.4434183295062,1
development-model-integration,16032002,n10-moderate,N10 Moderate,EXP21C closed-loop timing integration,ideal-tdma-p8p333,1,NaN,periodic,Ideal TDMA 8.333 Hz,none,10,ring2,di,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.102807586842759,0.503453392971555,0,0,NaN,NaN,NaN,NaN,0.0916844349680172,0.200000000000001,0.26,0.380000000000001,NaN,NaN,1000,1000,965,0,0,2100,1884,216,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.3333333333333,0,0,0,0.332921606271421,0.387853540102323,0,0,0,0,0,0.333333333333334,4,0,0,0,0,0.800000000000001,80.4166666666667,157,0,0.0180000000000001,0.036,NaN,NaN,0.997851547849941,2100,0,0.0990476190476191,0,0.102458756873854,0.101183136143976,3.0200595,0,1831593,84937744568,410907084,0,261941667,aloha,ideal-reference,none,ideal-centralized-tdma,none,round-robin,NaN,8.33333333333333,NaN,8.04166666666667,7.33333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.333333333333334,1000,nominal,full,0,1,1951116683266,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,0,0,1,691739399266,0,0,0,0,Inf,0,0,0,0,0
development-model-integration,16032002,n10-moderate,N10 Moderate,EXP21C closed-loop timing integration,continuous-zero-clock,2,0,periodic,Continuous local TDMA zero clock,none,10,ring2,di,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.100785152943128,0.499080212769573,0,0,NaN,NaN,NaN,NaN,0.0909168443496803,0.199999999999999,0.260000000000001,0.48,NaN,NaN,1000,1000,971,0,0,2100,1902,198,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.255999999999957,0,0,0,0.253935998187155,0.296877789893317,0,0,0,0,0,0.255999999999998,3.07199999999997,0,0,0,0,0.614399999999994,80.9166666666667,158.5,0,0.0158214399999992,0.0300799999999948,NaN,NaN,0.997177184799738,2100,0,0.100952380952381,0,0.102458756873854,0.101183136143976,3.1530678,0,1831593,84937744568,410907084,0,260121558,aloha,integration-zero,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,8.09166666666667,7.08333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1000,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.255999999999998,1000,nominal,full,0,0,1951116683266,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691739399266,3888,1000,0,0.003072,0.5,8.88178419700125e-16,0,0,0,1
development-model-integration,16032002,n10-moderate,N10 Moderate,EXP21C closed-loop timing integration,continuous-clock-unguarded,3,0,periodic,Continuous local TDMA unguarded clock,none,10,ring2,di,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.511532708348907,0.125162828750558,1,0,NaN,NaN,NaN,NaN,0.675366027007818,1.6,2.236,2.72,NaN,NaN,1000,2542,268,0,0,5315,524,4791,0,0,0,0,0,0,2269,0.892604248623131,0,0,1542,0,1,32,32,0,0,0,0,0,0,0,0.631770669210276,0,0,0,0.662025599127079,0.758637407048352,0,0,0,0,0,0.650752000000039,7.80902400000047,0,0,0,0,1.56180480000009,22.3333333333333,43.6666666666667,0,0.0439890507914568,0.0884404388347144,NaN,NaN,0.946796730819931,5315,0,0.105926622765757,0,0.102458756873854,0.101183136143976,3.6723026,0,1831593,84937744568,410907084,0,260642142,aloha,integration-witness,none,continuous-local-clock,none,continuous-local-static-tdma,NaN,8.33333333333333,NaN,2.23333333333333,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2542,NaN,NaN,NaN,0,0,1,2269,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.650752000000039,2542,nominal,full,0,0,1951116683266,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,691739399266,3878,2542,0,0.003072,0.5,8.88178419700125e-16,0.00025,40,30.7299547021836,1
