stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES,PROJECTION_FLAG,DTSA_DECISIONS,DTSA_DISAGREEMENTS,DTSA_DISAGREEMENT_FRACTION,AGE_GAIN_ELIGIBLE,ZMAC_OWNER_ATTEMPTS,ZMAC_CONTENTION_ATTEMPTS,DELTA_FINAL_PHASE,PUBLIC_FEEDBACK_COUNT,PUBLIC_FEEDBACK_AIRTIME,CHARGED_OFFERED_UTIL,MECHANISM_ACTIVATIONS
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,frame-piggyback,1,NaN,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0749676719714801,0.505044779436054,0,0,9.9993244408649,12.7032174782924,0,1.03654234893047,0.106434494195688,0.24,0.32,0.440000000000001,0.19812050856827,0.0916860143725816,936,925,565,0,570,1700,991,709,944,570,374,0,0,0,343,0.370810810810811,0,328,317,11,1,32,32,0,0,0,0,0,944,387,0.269916666666642,0,0,0,0.249256518560843,0.313340292212341,0,0,0,0,0,0.308333333333334,3.7,0,0.241664000000002,0,0,0.740000000000001,47.0833333333333,82.5833333333333,47.5,0.0242670270270271,0.0590000000000001,0.0744859649122808,0.155,0.979413073158759,2039,0,0.0917116233447769,0,0.0982469588401933,0.103262789535077,4.9776948,0,667109222244,21208164624,105363559,0,148525393,aloha,current,piggyback,frame-aware,piggyback,native,0,NaN,8.33333333333333,9.41666666666667,7.16666666666667,1.08333333333333,-1.16666666666667,936,565,328,93,371,0.565,0,0,0,0,0,0,1,343,0,0,0,0,0,0,0,0,0,0,0.308333333333334,0
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,collision-free-rr-piggyback,2,NaN,causal-broadcast,Collision-free RR piggyback,piggyback,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0522749433578533,0.533656530545498,0,0,9.58089225476973,12.6559418893974,0,1.03669236831447,0.0694637921503593,0.140000000000001,0.200000000000001,0.279999999999999,0.137103372028745,0.0676395798783859,696,696,671,0,739,1279,1154,125,818,739,79,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,818,0,0.231999999999984,0,0,0,0.204606892197119,0.236859638974859,0,0,0,0,0,0.232,2.784,0,0.209408000000002,0,0,0.5568,55.9166666666667,96.1666666666667,61.5833333333333,0.00344827586206905,0.00999999999999979,0.0424803788903925,0.0890000000000004,0.990465819721718,1572,0,0.0896946564885496,0,0.0982469588401933,0.103262789535077,2.9844487,0,667109222244,21208164624,105363559,0,172822712,aloha,scheduled-current,piggyback,round-robin,piggyback,round-robin,0,NaN,8.33333333333333,11.1833333333333,9.66666666666667,2.85,1.33333333333333,696,671,0,13,25,0.319000000000001,696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.232,696
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,periodic-tdma-p6p25,3,6.25,periodic,Periodic TDMA 6.25 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0695198465526956,0.514238450579028,0,0,9.85855817110222,12.9498313873336,0,1.03665486783303,0.101050304035379,0.211999999999998,0.300000000000001,0.32,NaN,NaN,375,375,364,0,0,675,617,58,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.124999999999993,0,0,0,0.124840320672559,0.162645274846126,0,0,0,0,0,0.125,1.5,0,0,0,0,0.3,30.3333333333333,51.4166666666667,0,0.00800000000000011,0.016,NaN,NaN,0.99921568627451,675,0,0.0844444444444444,0,0.0982469588401933,0.103262789535077,1.8306811,0,667109222244,21208164624,105363559,0,173565404,aloha,periodic,none,collision-free-scheduled,none,round-robin,0,6.25,8.33333333333333,6.06666666666667,5.75,-2.26666666666667,-2.58333333333333,375,364,0,7,11,0.64,375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.125,375
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,periodic-tdma-p8p333,4,8.33333333333333,periodic,Periodic TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0594001463500525,0.523491139257456,0,0,9.9388415807316,13.1269271563201,0,1.03661924237338,0.0833830845771143,0.199999999999999,0.240000000000002,0.360000000000001,NaN,NaN,500,500,479,0,0,900,812,88,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,39.9166666666667,67.6666666666667,0,0.00800000000000013,0.016,NaN,NaN,0.998459496507757,900,0,0.0977777777777778,0,0.0982469588401933,0.103262789535077,1.4444068,0,667109222244,21208164624,105363559,0,174307987,aloha,periodic,none,collision-free-scheduled,none,round-robin,0,8.33333333333333,8.33333333333333,7.98333333333333,7.5,-0.35,-0.833333333333334,500,479,0,11,21,0.24,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,500
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,periodic-tdma-p10,5,10,periodic,Periodic TDMA 10 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0527272225740004,0.534210032326656,0,0,9.76724448010835,12.5214025802924,0,1.03664527763139,0.0720840243228301,0.16,0.200000000000001,0.300000000000001,NaN,NaN,600,600,578,0,0,1080,980,100,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.199999999999984,0,0,0,0.19984747759072,0.233206941122285,0,0,0,0,0,0.2,2.4,0,0,0,0,0.48,48.1666666666667,81.6666666666667,0,0.00800000000000012,0.016,NaN,NaN,0.998278850176298,1080,0,0.0935185185185185,0,0.0982469588401933,0.103262789535077,1.47241,0,667109222244,21208164624,105363559,0,174144259,aloha,periodic,none,collision-free-scheduled,none,round-robin,0,10,8.33333333333333,9.63333333333333,9,1.3,0.666666666666666,600,578,0,13,22,0.7,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,600
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,periodic-tdma-p12p5,6,12.5,periodic,Periodic TDMA 12.5 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0452592857974089,0.542094869909827,0,0,9.7950312046624,12.7873526921011,0,1.03670038289342,0.0574903261470425,0.120000000000001,0.16,0.240000000000002,NaN,NaN,750,750,726,0,0,1350,1234,116,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.249999999999977,0,0,0,0.2498549540291,0.280749984560226,0,0,0,0,0,0.25,3,0,0,0,0,0.600000000000001,60.5,102.833333333333,0,0.00800000000000014,0.016,NaN,NaN,0.999120445842969,1350,0,0.0881481481481481,0,0.0982469588401933,0.103262789535077,1.6258769,0,667109222244,21208164624,105363559,0,173997027,aloha,periodic,none,collision-free-scheduled,none,round-robin,0,12.5,8.33333333333333,12.1,11.6666666666667,3.76666666666667,3.33333333333333,750,726,0,11,24,0.16,750,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,750
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,dtsa-common-view,7,NaN,periodic,DTSA common-view reference,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0285941334571521,0.563932419245485,0,0,9.59870082198152,12.2156114821781,0,1.03678874552679,0.022432283029298,0.0400000000000009,0.0600000000000005,0.119999999999999,NaN,NaN,3000,3000,2875,0,0,5400,4877,523,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.999999999999881,0,0,0,0.999999999999993,0.999999999999986,0,0,0,0,0,0.999999999999927,11.9999999999991,0,0,0,0,2.39999999999982,239.583333333333,406.416666666667,0,0.00800000000000013,0.016,NaN,NaN,0.997952330099842,5400,0,0.0961111111111111,0,0.0982469588401933,0.103262789535077,2.9134049,0,667109222244,21208164624,105363559,0,172178636,aloha,prior-art-reference,none,dtsa-common,none,dtsa-common,0,NaN,8.33333333333333,47.9166666666667,44.8333333333333,39.5833333333333,36.5,3000,2875,0,63,125,0.0880000000000001,3000,0,0,0,15000,0,1,0,0,3000,0,0,0,0,0,0,0,0,0.999999999999927,3000
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,dtsa-private-view,8,NaN,periodic,DTSA private-view projection,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,1.73724043981015,0.544840728695621,0,0,9.95836863739159,13.972200041265,0,1.00249013341665,10,11.8,11.96,12,NaN,NaN,3000,8990,5,0,0,16182,8,16174,0,0,0,0,0,0,8985,0.99944382647386,0,0,5990,0,1,32,32,0,0,0,0,0,0,0,0.600666666666729,0,0,0,0.590375633302004,0.590375633302003,0,0,0,0,0,2.99666666666682,35.9600000000018,0,0,0,0,7.19200000000037,0.416666666666667,0.666666666666667,0,0.00400222469410469,0.0080000000000009,NaN,NaN,1,16182,0,0.0951056729699666,0,0.0982469588401933,0.103262789535077,4.0722536,0,667109222244,21208164624,105363559,0,172186615,aloha,prior-art-projection,none,dtsa-private,none,dtsa-private,0,NaN,8.33333333333333,0.0833333333333333,0.0833333333333333,-8.25,-8.25,3000,5,0,599,2995,11.995,1802,0,0,0,0,0,1,8985,1,1802,1797,0.997225305216426,0,0,0,0,0,0,2.99666666666682,1802
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,chen-age-gain-private,9,NaN,periodic-feedback,Chen age-gain private projection,piggyback,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0431008984707768,0.543455850254397,0,0,9.70966452164814,12.5312472719183,0,1.03670433036247,0.0513322277501383,0.120000000000001,0.16,0.26,0.116970702045329,0.0656384742951907,3000,2041,1381,0,847,3777,2390,1387,1388,847,541,0,0,0,602,0.294953454189123,0,1535,579,8,1,32,32,0,0,0,0,0,1388,2155,0.573666666666712,0,0,0,0.583909030463857,0.706882925590105,0,0,0,0,0,0.680333333333295,8.16399999999954,0,0.355328000000001,0,0,1.63279999999991,115.083333333333,199.166666666667,70.5833333333333,0.006861342479177,0.017,0.0283081463990556,0.0640000000000001,0.982771263452704,4340,0,0.0923963133640553,0,0.0982469588401933,0.103262789535077,2.8825994,0,667109222244,21208164624,105363559,0,172710352,aloha,prior-art-projection,private-cumulative-piggyback,age-gain-thinning,private-delayed,age-gain-thinning,0,NaN,8.33333333333333,23.0166666666667,17.8333333333333,14.6833333333333,9.5,3000,1381,1535,387,1619,0.211,1721,0,0,0,0,0,1,602,1,0,0,0,10338,0,0,0,0,0,0.680333333333295,1721
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,zmac-like-hybrid,10,NaN,state-event,Z-MAC-like hybrid,none,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.107612143761318,0.470055581570066,0,0,9.82141106629556,12.5745264351553,0,1.03659706815843,0.15845218352681,0.360000000000001,0.5,0.680000000000001,NaN,NaN,306,332,291,0,0,594,496,98,0,0,0,0,0,0,28,0.0843373493975904,0,0,26,0,1,32,32,0,0,0,0,0,0,0,0.105999999999998,0,0,0,0.0790418679896463,0.117190225086364,0,0,0,0,0,0.110666666666667,1.328,0,0,0,0,0.2656,24.25,41.3333333333333,0,0.0028975903614459,0.011,NaN,NaN,0.997244303126656,594,0,0.0942760942760943,0,0.0982469588401933,0.103262789535077,1.2447543,0,667109222244,21208164624,105363559,0,173286875,aloha,prior-art-projection,none,zmac-like,none,zmac-like,0,NaN,8.33333333333333,4.85,4.41666666666667,-3.48333333333333,-3.91666666666667,306,291,0,8,15,0.62,318,0,0,0,0,0,1,28,1,0,0,0,0,215,117,0,0,0,0.110666666666667,318
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,delta-public-projection,11,NaN,state-event,DELTA public-feedback projection,none,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.126953383780207,0.449219488856407,0,0,9.82141106629556,12.5759763150078,0,1.03654864027301,0.183548922056385,0.42,0.52,0.74,NaN,NaN,303,374,267,0,0,673,453,220,0,0,0,0,0,0,91,0.24331550802139,0,12,83,1,1,32,32,0,0,0,0,0,0,0,0.10933333333333,0,0,0,0.0886612981207125,0.138396544191049,0,0,0,0,0,0.124666666666667,1.496,0,0,0,0,0.2992,22.25,37.75,0,0.0302032085561498,0.17635,NaN,NaN,0.993505679046756,673,0,0.102526002971768,0,0.0982469588401933,0.103262789535077,1.5367685,0,667109222244,21208164624,105363559,0,173311746,aloha,prior-art-projection,public-slot-feedback,delta-public,charged-public-minislot,delta-public,0,NaN,8.33333333333333,4.45,3.75,-3.88333333333333,-4.58333333333333,303,267,12,13,36,0.879,328,0,0,0,8077,0,1,91,1,0,0,0,0,0,0,0,327,0.327,0.151916666666667,328
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,delta-private-projection,12,NaN,periodic-feedback,DELTA private-delayed projection,piggyback,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0429549539408035,0.543175375730287,0,0,9.6876858023029,12.4661704426123,0,1.03668623886158,0.0514317302377004,0.120000000000001,0.16,0.200000000000001,0.11575456053068,0.0643228302929795,3000,2290,1384,0,819,4315,2413,1902,1465,819,646,0,0,0,849,0.370742358078603,0,1456,747,16,1,32,32,0,0,0,0,0,1465,2121,0.615000000000059,0,0,0,0.617514720111939,0.767410347838586,0,0,0,0,0,0.763333333333286,9.15999999999944,0,0.375040000000001,0,0,1.83199999999989,115.333333333333,201.083333333333,68.25,0.00651222707423593,0.0169999999999995,0.026836385836386,0.0569999999999995,0.975029905676225,4936,0,0.0944084278768233,0,0.0982469588401933,0.103262789535077,3.0176013,0,667109222244,21208164624,105363559,0,172705816,aloha,prior-art-projection,private-cumulative-piggyback,delta-private,private-delayed,delta-private,0,NaN,8.33333333333333,23.0666666666667,18.25,14.7333333333333,9.91666666666667,3000,1384,1456,382,1616,0.206,1845,0,0,0,0,0,1,849,1,0,0,0,0,0,0,0,0,0,0.763333333333286,1845
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,oracle-deficit-maxweight,13,NaN,causal-broadcast,Oracle deficit max-weight piggyback,piggyback,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0523114470721001,0.534974951735248,0,0,9.83091588883106,12.328837507529,0,1.03668822869826,0.0704256495301271,0.16,0.219999999999999,0.279999999999999,0.145317855168601,0.0748922056384744,705,705,674,0,736,1302,1160,142,827,736,91,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,827,0,0.234999999999983,0,0,0,0.205941103411084,0.248276261047305,0,0,0,0,0,0.235,2.82,0,0.211712000000002,0,0,0.564,56.1666666666667,96.6666666666667,61.3333333333333,0.00226382978723415,0.00800000000000001,0.0435597826086958,0.104,0.982175905906772,1606,0,0.099626400996264,0,0.0982469588401933,0.103262789535077,1.5097594,0,667109222244,21208164624,105363559,0,174234411,aloha,oracle,piggyback,collision-free-scheduled,piggyback,deficit-maxweight,1,NaN,8.33333333333333,11.2333333333333,9.08333333333333,2.9,0.75,705,674,0,20,31,0.279999999999999,705,297,175,0.589225589225589,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.235,705
development-falsification,16027001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP20A prior-art baseline closure,oracle-urgency-maxweight,14,NaN,causal-broadcast,Oracle urgency max-weight piggyback,piggyback,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0516192166873812,0.534907944762227,0,0,9.83091588883106,12.5629944463648,0,1.03668132996237,0.0683471531232724,0.140000000000001,0.180000000000001,0.220000000000001,0.139004975124378,0.0706578220011056,689,689,663,0,787,1271,1158,113,872,787,85,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,872,0,0.229666666666651,0,0,0,0.200026856690622,0.241230441161188,0,0,0,0,0,0.229666666666667,2.756,0,0.223232000000002,0,0,0.5512,55.25,96.5,65.5833333333333,0.00224092888243841,0.00800000000000001,0.0446810673443457,0.088000000000001,0.987828803218086,1593,0,0.0916509730069052,0,0.0982469588401933,0.103262789535077,1.2283929,0,667109222244,21208164624,105363559,0,174235538,aloha,oracle,piggyback,collision-free-scheduled,piggyback,urgency-maxweight,1,NaN,8.33333333333333,11.05,9.25,2.71666666666667,0.916666666666666,689,663,0,17,26,0.24,689,278,147,0.528776978417266,1075,0,1,0,0,0,0,0,0,0,0,0,0,0,0.229666666666667,689
development-falsification,16027001,n5-stressed-bg0,N5 Stressed bg0 ALOHA,EXP20A prior-art baseline closure,frame-piggyback,1,NaN,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0944077366189274,0.474219303061287,0,0,9.9993244408649,12.8849900920871,0,1.03651955887127,0.133830845771144,0.34,0.46,0.58,0.295721393034826,0.161890547263682,1072,978,514,0,388,1777,811,966,856,388,468,0,0,0,366,0.374233128834356,0,433,339,16,1,32,32,0,0,0,0,0,856,464,0.285833333333307,0,0,0,0.271257740116851,0.33170459026546,0,0,0,0,0,0.326,3.912,0,0.219136000000002,0,0,0.782400000000001,42.8333333333333,67.5833333333333,32.3333333333333,0.0220255623721882,0.0559999999999992,0.0750798969072166,0.15165,0.944096626643796,2088,0,0.300287356321839,0,0.306742209631728,0.305175804032661,5.0225783,0,667109222244,21815505914,110997405,0,146799399,aloha,current,piggyback,frame-aware,piggyback,native,0,NaN,8.33333333333333,8.56666666666667,5.83333333333333,0.233333333333333,-2.5,1072,514,433,127,558,0.846,0,0,0,0,0,0,1,366,0,0,0,0,0,0,0,0,0,0,0.326,0
development-falsification,16027001,n5-stressed-bg0,N5 Stressed bg0 ALOHA,EXP20A prior-art baseline closure,collision-free-rr-piggyback,2,NaN,causal-broadcast,Collision-free RR piggyback,piggyback,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0596342985342261,0.523831891508699,0,0,9.72863615555153,12.5955722365973,0,1.0366503625464,0.0829519071310116,0.200000000000001,0.279999999999999,0.360000000000001,0.174626865671642,0.0916749585406303,860,860,724,0,616,1593,1111,482,860,616,244,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,860,0,0.286666666666644,0,0,0,0.240144815920926,0.284476164449819,0,0,0,0,0,0.286666666666667,3.44,0,0.220160000000002,0,0,0.688000000000001,60.3333333333333,92.5833333333333,51.3333333333333,0.00377093023255823,0.01,0.0416980519480521,0.0900000000000016,0.954800633891328,1903,0,0.315291644771414,0,0.306742209631728,0.305175804032661,3.3596802,0,667109222244,21815505914,110997405,0,171096718,aloha,scheduled-current,piggyback,round-robin,piggyback,round-robin,0,NaN,8.33333333333333,12.0666666666667,9.08333333333333,3.73333333333333,0.75,860,724,0,67,136,0.348,860,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.286666666666667,860
development-falsification,16027001,n5-stressed-bg0,N5 Stressed bg0 ALOHA,EXP20A prior-art baseline closure,periodic-tdma-p6p25,3,6.25,periodic,Periodic TDMA 6.25 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0997023446774537,0.473513445323679,0,0,9.85855817110222,13.0362127816007,0,1.03645089400389,0.147927031509121,0.359999999999999,0.540000000000001,0.799999999999999,NaN,NaN,375,375,306,0,0,675,463,212,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.124999999999993,0,0,0,0.124840320672559,0.162645274846126,0,0,0,0,0,0.125,1.5,0,0,0,0,0.3,25.5,38.5833333333333,0,0.00800000000000011,0.016,NaN,NaN,0.978228165482658,675,0,0.321481481481481,0,0.306742209631728,0.305175804032661,1.7709676,0,667109222244,21815505914,110997405,0,171839410,aloha,periodic,none,collision-free-scheduled,none,round-robin,0,6.25,8.33333333333333,5.1,4.16666666666667,-3.23333333333333,-4.16666666666667,375,306,0,26,69,0.96,375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.125,375
development-falsification,16027001,n5-stressed-bg0,N5 Stressed bg0 ALOHA,EXP20A prior-art baseline closure,periodic-tdma-p8p333,4,8.33333333333333,periodic,Periodic TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0800396005124138,0.495515421163525,0,0,9.9388415807316,13.1269271563201,0,1.03651567001906,0.116019900497512,0.280000000000001,0.459999999999999,0.600000000000001,NaN,NaN,500,500,418,0,0,900,627,273,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,34.8333333333333,52.25,0,0.00800000000000013,0.016,NaN,NaN,0.978462227697822,900,0,0.314444444444444,0,0.306742209631728,0.305175804032661,1.5935885,0,667109222244,21815505914,110997405,0,172581993,aloha,periodic,none,collision-free-scheduled,none,round-robin,0,8.33333333333333,8.33333333333333,6.96666666666667,5.33333333333333,-1.36666666666667,-3,500,418,0,37,82,0.6,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,500
development-falsification,16027001,n5-stressed-bg0,N5 Stressed bg0 ALOHA,EXP20A prior-art baseline closure,periodic-tdma-p10,5,10,periodic,Periodic TDMA 10 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0731864926587951,0.504379645525023,0,0,9.81386283052561,12.7360566326485,0,1.03670818283935,0.0998894416804864,0.26,0.319999999999999,0.5,NaN,NaN,600,600,496,0,0,1080,750,330,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.199999999999984,0,0,0,0.19984747759072,0.233206941122285,0,0,0,0,0,0.2,2.4,0,0,0,0,0.48,41.3333333333333,62.5,0,0.00800000000000012,0.016,NaN,NaN,0.976602754952165,1080,0,0.310185185185185,0,0.306742209631728,0.305175804032661,1.4878071,0,667109222244,21815505914,110997405,0,172418265,aloha,periodic,none,collision-free-scheduled,none,round-robin,0,10,8.33333333333333,8.26666666666667,6.33333333333333,-0.0666666666666664,-2,600,496,0,45,104,0.8,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,600
