stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES,PROJECTION_FLAG,DTSA_DECISIONS,DTSA_DISAGREEMENTS,DTSA_DISAGREEMENT_FRACTION,AGE_GAIN_ELIGIBLE,ZMAC_OWNER_ATTEMPTS,ZMAC_CONTENTION_ATTEMPTS,DELTA_FINAL_PHASE,PUBLIC_FEEDBACK_COUNT,PUBLIC_FEEDBACK_AIRTIME,CHARGED_OFFERED_UTIL,MECHANISM_ACTIVATIONS,cellRole,controlReach,DISTRIBUTED_FLAG,IDEAL_FLAG,EXP21_TRACE_HASH_EXACT,RESERVATION_EPOCHS,CONTROL_FRAMES,CONTROL_REQUEST_FRAMES,CONTROL_RESPONSE_FRAMES,CONTROL_COMMIT_FRAMES,CONTROL_RECIPIENT_ATTEMPTS,CONTROL_RECIPIENT_SUCCESS,CONTROL_RECIPIENT_LOSS,CONTROL_ACCOUNTING_CLOSE,CONTROL_AIRTIME,CONTROL_OVERHEAD_FRACTION,RESERVATION_NACKS,RESERVATION_MIGRATIONS,RESERVATION_SCHEDULE_CHANGES,SCHEDULE_CONFLICT_FRACTION,FIRST_CONVERGENCE_SEC,CONVERGED_BY_2SEC,CHURN_APPLIED,CHURN_RECOVERY_SEC,RECOVERED_BY_2SEC,FINAL_ASSIGNED_NODES,FINAL_FULL_UNIQUE,MAX_ABS_CLOCK_OFFSET_SEC,MAX_ABS_CLOCK_DRIFT_PPM,LOCAL_SCHEDULE_ONLY,EXP21C_TRACE_HASH_EXACT,CONTINUOUS_START_OPPORTUNITIES,CONTINUOUS_START_ATTEMPTS,CONTINUOUS_GUARD_SEC,CONTINUOUS_SLOT_SEC,CONTINUOUS_SYNC_SEC,CONTINUOUS_MAX_CLOCK_RESIDUAL,CONTINUOUS_MAX_OFFSET_BOUND_SEC,CONTINUOUS_MAX_DRIFT_BOUND_PPM,CONTINUOUS_REALIZED_MAX_DRIFT_PPM,CONTINUOUS_EXACT_AIRTIME,ENGINE_FAMILY,TOTAL_MANAGEMENT_ATTEMPTS,TOTAL_MANAGEMENT_AIRTIME,TOTAL_MANAGEMENT_UTIL,TOTAL_OFFERED_UTIL,REPLAY_FLAG,REPLAY_SCHEDULE_HASH_EXACT,REPLAY_KERNEL_TRACE_HASH_EXACT,REPLAY_KERNEL_CONFIG_HASH,REPLAY_LOGICAL_OPPORTUNITY_HASH_EXACT,REPLAY_DATA_OPPORTUNITIES,REPLAY_DATA_ATTEMPTS,REPLAY_DATA_SKIPPED_NO_QUEUE,REPLAY_DATA_OUTCOME_MISMATCHES,REPLAY_EXPECTED_COLLISION_FRAMES,REPLAY_COLLISION_WITNESS_MATCH,REPLAY_EXPECTED_RECIPIENT_SUCCESS,REPLAY_EXPECTED_RECIPIENT_ERASURE,REPLAY_EXPECTED_RECIPIENT_COLLISION,REPLAY_OBSERVED_RECIPIENT_SUCCESS,REPLAY_OBSERVED_RECIPIENT_ERASURE,REPLAY_OBSERVED_RECIPIENT_COLLISION,REPLAY_MANAGEMENT_ACCOUNTING_CLOSE,REPLAY_MANAGEMENT_ATTEMPT_MATCH,REPLAY_MANAGEMENT_RECIPIENT_MATCH,REPLAY_MANAGEMENT_AIRTIME_MATCH,REPLAY_CROSS_PLANE_OVERLAPS,REPLAY_CLOCK_TIMING_SAFE,REPLAY_CLOCK_MIN_GAP_SEC,REPLAY_CLOCK_RESIDUAL_SEC,ELCS_FINAL_ALL_CERTIFIED,ELCS_FALSE_VALID_EDGE_FRAMES,ELCS_OWNER_LOCK_VIOLATIONS,ELCS_SCHEDULED_COLLISION_FRAMES,ELCS_FIRST_ALL_CERTIFIED_FRAME,ELCS_STATUS_ATTEMPTS,ELCS_DISCOVERY_STATUS_ATTEMPTS,ELCS_REQUEST_STATUS_ATTEMPTS,ELCS_GRANT_ATTEMPTS,ELCS_GRANT_WITHOUT_DECODED_REQUEST,ELCS_CONTROL_ATTEMPT_BOUND,ELCS_CONTROL_BOUND_RATIO,DSTR_FINAL_RESOLVED,DSTR_FINAL_COLLISION_FREE
event-driven-candidate-sharp-frontier-falsification,16054001,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-match,1,19.1122222222221,periodic,Periodic static TDMA / ELCS cost match,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0303520669338039,0.558664363082996,0,0,10.1677525658531,12.2998475019298,0,1.03682053430831,0.0418739635157545,0.0799999999999983,0.0800000000000001,0.0800000000000018,NaN,NaN,1145,1145,1145,0,0,2748,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.293119999999962,0,0,0,0.293585193341524,0.326714983223252,0,0,0,0,0,0.293119999999997,3.51743999999997,0,0,0,0,0.703487999999993,95.4166666666667,229,0,0.0113631578366251,0.0214348628295227,NaN,NaN,1,2748,0,0,0,0,0,1.6940383,0,1082707,0,110997400,0,258407500,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,19.1122222222221,NaN,19.0833333333333,19.0833333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1145,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293119999999997,1145,nominal,full,0,0,503974814856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188533089897,2648,1145,0.00146005840233609,0.00453205840233609,Inf,8.67361737988404e-19,0.00025,40,37.1299514753639,1,periodic-static,0,0,0,0.293119999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054001,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-minus1pct,2,18.9210999999999,periodic,Periodic static TDMA / 1% below ELCS parent cost,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0306814309459322,0.558533455414223,0,0,10.1677525658531,12.2998475019298,0,1.03683387335975,0.0423548922056384,0.0800000000000001,0.0800000000000001,0.0800000000000018,NaN,NaN,1135,1135,1135,0,0,2724,2724,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.290559999999963,0,0,0,0.290158771454856,0.320056385493564,0,0,0,0,0,0.290559999999997,3.48671999999997,0,0,0,0,0.697343999999993,94.5833333333333,227,0,0.0112834457912225,0.0214143417578841,NaN,NaN,1,2724,0,0,0,0,0,1.416406,0,1082707,0,110997400,0,258425723,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,18.9210999999999,NaN,18.9166666666667,18.9166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1135,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.290559999999997,1135,nominal,full,0,0,503974814856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188533089897,2648,1135,0.00146005840233609,0.00453205840233609,Inf,8.67361737988404e-19,0.00025,40,37.1299514753639,1,periodic-static,0,0,0,0.290559999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054001,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,elcs-f-mission-affine,3,50,periodic,ELCS-F / mission affine clock,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0301176420676444,0.559377046933188,0,0,10.0738414763348,12.3124003734348,0,1.03685286659438,0.0409121061359869,0.0600000000000005,0.0600000000000005,0.0600000000000005,NaN,NaN,3000,1054,1053,0,0,2528,2524,4,0,0,0,0,0,0,4,0.00379506641366224,0,1943,0,0,1,32,32,0,0,0,0,0,0,0,0.293238694326178,0,0,0,0,0,0,0,0,0,0,0.293717333333331,3.23788799999997,0,0,0,0,0.704921599999994,87.75,210.333333333333,0,0.0100556093707199,0.0189745277757639,NaN,NaN,0.999976551966704,2528,0,0,0,0,0,0.426546,0,1082707,0,110997400,0,16558660373,tdma,candidate-elcs,none,edge-leased-certified-scheduling,none,continuous-elcs-replay,NaN,50,NaN,17.55,17.4166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1054,NaN,NaN,NaN,0,0,1,4,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293717333333331,1054,nominal,full,1,0,503974814856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.283554993399736,1,0,NaN,NaN,5,1,0,0,1,188533089897,1054,1054,0.00146005840233609,0.00453205840233609,Inf,4.74338450462408e-20,0.00025,40,37.1299514753639,1,candidate-elcs,280,0.28672,0.0238933333333334,0.293717333333331,1,3734009950,30300371393,1103131,946132702,1054,1054,0,0,4,1,2524,0,4,2524,0,4,1,1,1,1,0,1,0.000882134172671911,4.74338450462408e-20,1,0,0,0,5,213,89,124,310,0,534,0.97940074906367,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054001,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,periodic-cost-match,1,10.3799999999999,periodic,Periodic static TDMA / ELCS cost match,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0557138799354829,0.536488062882313,0,0,NaN,NaN,NaN,NaN,0.0746230386528893,0.120000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1250,1248,1248,0,0,3245,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.319487999999958,0,0,0,0.318409787470776,0.360171530848068,0,0,0,0,0,0.319487999999997,3.83385599999996,0,0,0,0,0.766771199999992,104,270.416666666667,0,0.0223564279397291,0.0425501199629562,NaN,NaN,0.999989727258719,3245,0,0,0,0,0,1.5382738,0,794520,0,410907079,0,268680645,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,10.3799999999999,NaN,10.4,10.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1248,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.319487999999997,1248,nominal,full,0,0,1950984046518,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,692308567392,2647,1248,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,38.6204413047082,1,periodic-static,0,0,0,0.319487999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054001,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,periodic-cost-minus1pct,2,10.2761999999999,periodic,Periodic static TDMA / 1% below ELCS parent cost,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0558661814617477,0.536091664350501,0,0,NaN,NaN,NaN,NaN,0.0751052430156908,0.120000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1240,1233,1233,0,0,3205,3205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.31564799999996,0,0,0,0.314926055107384,0.366788302906671,0,0,0,0,0,0.315647999999997,3.78777599999996,0,0,0,0,0.757555199999993,102.75,267.083333333333,0,0.0225940683103999,0.0430644106242534,NaN,NaN,0.999986187027646,3205,0,0,0,0,0,1.4083027,0,794520,0,410907079,0,268539517,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,10.2761999999999,NaN,10.275,10.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1233,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.315647999999997,1233,nominal,full,0,0,1950984046518,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,692308567392,2647,1233,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,38.6204413047082,1,periodic-static,0,0,0,0.315647999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054001,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,elcs-f-mission-affine,3,50,periodic,ELCS-F / mission affine clock,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.050872445295149,0.542641679146135,0,0,NaN,NaN,NaN,NaN,0.0654496747034059,0.119999999999999,0.120000000000001,0.120000000000001,NaN,NaN,6000,1116,1115,0,0,2909,2901,8,0,0,0,0,0,0,5,0.00448028673835125,0,4874,0,0,1,32,32,0,0,0,0,0,0,0,0.213652110597848,0,0,0,0,0,0,0,0,0,0,0.319573333333331,3.42835199999997,0,0,0,0,0.766975999999994,92.9166666666667,241.75,0,0.010025998363649,0.0189840786323847,NaN,NaN,0.999561816091399,2909,0,0,0,0,0,0.477859499999999,0,794520,0,410907079,0,39146543195,tdma,candidate-elcs,none,edge-leased-certified-scheduling,none,continuous-elcs-replay,NaN,50,NaN,9.29166666666667,8.91666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1116,NaN,NaN,NaN,0,0,1,5,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.319573333333331,1116,nominal,full,1,0,1950984046518,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.04138871794872,1,0,NaN,NaN,10,0,0,0,1,692308567392,1116,1116,0.00146005840233609,0.00453205840233609,Inf,1.11022302462516e-16,0.00025,40,38.6204413047082,1,candidate-elcs,397,0.406528000000003,0.0338773333333336,0.319573333333331,1,4688207633,113298242573,1800674,1577945008,1116,1116,0,0,5,1,2901,0,8,2901,0,8,1,1,1,1,0,1,0.000837938634319357,1.11022302462516e-16,1,0,0,0,10,455,176,279,930,0,1409,0.982966643009226,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054002,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-match,1,19.1122222222221,periodic,Periodic static TDMA / ELCS cost match,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.030428123464708,0.558765426826273,0,0,10.1677525658531,12.2998475019298,0,1.03682067404144,0.0420232172470978,0.0799999999999983,0.0800000000000001,0.0800000000000018,NaN,NaN,1145,1145,1145,0,0,2748,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.293119999999962,0,0,0,0.292524606957321,0.320848929613088,0,0,0,0,0,0.293119999999997,3.51743999999997,0,0,0,0,0.703487999999993,95.4166666666667,229,0,0.0113834953928994,0.0214766625137306,NaN,NaN,1,2748,0,0,0,0,0,1.1018523,0,1710025,0,110997400,0,258407502,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,19.1122222222221,NaN,19.0833333333333,19.0833333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1145,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293119999999997,1145,nominal,full,0,0,502759541400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188680519556,2648,1145,0.00146005840233609,0.00453205840233609,Inf,2.77555756156289e-17,0.00025,40,32.2519134026861,1,periodic-static,0,0,0,0.293119999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054002,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,periodic-cost-minus1pct,2,18.9210999999999,periodic,Periodic static TDMA / 1% below ELCS parent cost,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0307037338934557,0.558648648018364,0,0,10.1677525658531,12.2998475019298,0,1.03683355172748,0.0424461028192371,0.0800000000000001,0.0800000000000001,0.0800000000000018,NaN,NaN,1135,1135,1135,0,0,2724,2724,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.290559999999963,0,0,0,0.289212333965005,0.324213860966801,0,0,0,0,0,0.290559999999997,3.48671999999997,0,0,0,0,0.697343999999993,94.5833333333333,227,0,0.0113621955769182,0.0215597102482629,NaN,NaN,1,2724,0,0,0,0,0,1.1825878,0,1710025,0,110997400,0,258425725,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,18.9210999999999,NaN,18.9166666666667,18.9166666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1135,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.290559999999997,1135,nominal,full,0,0,502759541400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,5,1,0,0,1,188680519556,2648,1135,0.00146005840233609,0.00453205840233609,Inf,2.77555756156289e-17,0.00025,40,32.2519134026861,1,periodic-static,0,0,0,0.290559999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054002,n5-6dof-zero-loss,N5 6-DOF zero-loss,EXP22G targeted frontier,elcs-f-mission-affine,3,50,periodic,ELCS-F / mission affine clock,none,5,ring2,6dof,tdma,1,1,0,1,0.48,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0300972583119454,0.559382441584916,0,0,10.0661788513283,12.3108015086735,0,1.03684363624812,0.0409286898839139,0.0600000000000005,0.0600000000000005,0.0600000000000005,NaN,NaN,3000,1053,1053,0,0,2528,2528,0,0,0,0,0,0,0,0,0,0,1944,0,0,1,32,32,0,0,0,0,0,0,0,0.293461333333323,0,0,0,0,0,0,0,0,0,0,0.293461333333331,3.23481599999997,0,0,0,0,0.704307199999994,87.75,210.666666666667,0,0.00999838737991827,0.0189198555519678,NaN,NaN,0.999949497910025,2528,0,0,0,0,0,0.3598919,0,1710025,0,110997400,0,16588132638,tdma,candidate-elcs,none,edge-leased-certified-scheduling,none,continuous-elcs-replay,NaN,50,NaN,17.55,17.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1053,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.293461333333331,1053,nominal,full,1,0,502759541400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.283554993399736,1,0,NaN,NaN,5,1,0,0,1,188680519556,1053,1053,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,32.2519134026861,1,candidate-elcs,280,0.28672,0.0238933333333334,0.293461333333331,1,3724627977,30476589854,1103131,944152369,1053,1053,0,0,0,1,2528,0,0,2528,0,0,1,1,1,1,0,1,0.000995189239707983,0,1,0,0,0,5,213,89,124,310,0,534,0.97940074906367,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054002,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,periodic-cost-match,1,10.3799999999999,periodic,Periodic static TDMA / ELCS cost match,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0556667330923965,0.53666848086906,0,0,NaN,NaN,NaN,NaN,0.0749024110218139,0.120000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1250,1248,1248,0,0,3245,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.319487999999958,0,0,0,0.317812635996103,0.361753367171485,0,0,0,0,0,0.319487999999997,3.83385599999996,0,0,0,0,0.766771199999992,104,270.416666666667,0,0.0224960587154144,0.0426512148966839,NaN,NaN,0.999989727258719,3245,0,0,0,0,0,1.4442906,0,458748,0,410907079,0,268680647,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,10.3799999999999,NaN,10.4,10.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1248,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.319487999999997,1248,nominal,full,0,0,1951557180364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,692099094077,2647,1248,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,34.8360509458715,1,periodic-static,0,0,0,0.319487999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
event-driven-candidate-sharp-frontier-falsification,16054002,n10-ring2-zero-loss,N10 ring2 zero-loss,EXP22G targeted frontier,periodic-cost-minus1pct,2,10.2761999999999,periodic,Periodic static TDMA / 1% below ELCS parent cost,none,10,ring2,di,tdma,1,1,0,1,0.26,0.097,0.097,0.0277777777777778,0.0277777777777778,0.055727331897464,0.536623096585925,0,0,NaN,NaN,NaN,NaN,0.0753884424033678,0.120000000000001,0.140000000000001,0.140000000000001,NaN,NaN,1240,1233,1233,0,0,3205,3205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.315647999999958,0,0,0,0.314980311933056,0.364502883929836,0,0,0,0,0,0.315647999999997,3.78777599999996,0,0,0,0,0.757555199999993,102.75,267.083333333333,0,0.0227724278899577,0.0433195707425252,NaN,NaN,0.999986187027646,3205,0,0,0,0,0,1.2126858,0,458748,0,410907079,0,268539519,tdma,periodic-frontier,none,full-mission-static-tdma,none,continuous-local-static-tdma,NaN,10.2761999999999,NaN,10.275,10.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1233,NaN,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0,0.315647999999997,1233,nominal,full,0,0,1951557180364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,NaN,NaN,10,1,0,0,1,692099094077,2647,1233,0.00146005840233609,0.00453205840233609,Inf,0,0.00025,40,34.8360509458715,1,periodic-static,0,0,0,0.315647999999997,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
