seed,scenario,residualLoss,pAccess,method,thetaTagged,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_ONEWAY_DELAY,P95_ONEWAY_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT
12012001,Clean,0,0.1,Periodic-P10,0.06561,0.0484393203417603,0.536580962580815,0,0.0673903211216643,0.119999999999999,0.16,NaN,NaN,600,721,595,0,0,1579,1310,269,126,0.174757281553398,0,0,121,0,1,32,0,0,0,0,0,0,0,0,0,0,0.0547499999999994,0.0600833333333334,0.721000000000001,0,0,0.1442,49.5833333333333,109.166666666667,0,0.0110957004160888,0.0320000000000009,0.0128374045801527,0.0350000000000001,NaN,NaN,0.999971754205093,1.5918777,0,188682226496
12012001,Clean,0,0.1,State-event,0.06561,0.0930822537965306,0.482567430349495,0,0.142559927634554,0.26,0.260000000000002,NaN,NaN,304,308,304,0,0,676,667,9,4,0.012987012987013,0,0,4,0,1,32,0,0,0,0,0,0,0,0,0,0,0.0254999999999997,0.0256666666666667,0.308,0,0,0.0616,25.3333333333333,55.5833333333333,0,0.00942207792207799,0.028,0.01047976011994,0.029,NaN,NaN,0.998228559084035,1.2944785,0,188682226496
12012001,Clean,0,0.1,Causal-Broadcast,0.06561,0.0548277183444246,0.531033118483465,0,0.0795296246042513,0.140000000000001,0.16,0.107562189054726,0.0280325644504749,536,584,534,639,1062,1286,1177,109,125,0.102207686017989,0,1,49,0,2,32,0,0,0,0,639,399,1,1198,1062,136,0.0966666666666636,0.101916666666667,0.584,0.639,0.0255360000000001,0.2446,44.5,98.0833333333333,88.5,0.00998364677023714,0.0300000000000002,0.0123687340696686,0.0349999999999998,0.0359124293785311,0.0620000000000002,0.999145059565522,2.998062,0,188682226496
12012001,Clean,0,0.2,Periodic-P10,0.08192,0.0461707836926371,0.541299527342839,0,0.0638625056535503,0.100000000000001,0.18,NaN,NaN,600,915,585,0,0,2005,1288,717,330,0.360655737704918,0,0,315,0,1,32,0,0,0,0,0,0,0,0,0,0,0.0615833333333331,0.0762500000000001,0.915000000000001,0,0,0.183,48.75,107.333333333333,0,0.00532349726775966,0.016,0.00783152173913043,0.0190000000000001,NaN,NaN,0.999853918632678,1.5172995,0,188682226496
12012001,Clean,0,0.2,State-event,0.08192,0.0943585406944124,0.482103599228863,0,0.139701492537313,0.26,0.260000000000001,NaN,NaN,303,319,301,0,0,699,661,38,18,0.0564263322884013,0,0,16,0,1,32,0,0,0,0,0,0,0,0,0,0,0.0258333333333333,0.0265833333333334,0.319,0,0,0.0638000000000001,25.0833333333333,55.0833333333333,0,0.00436990595611295,0.0129999999999999,0.00542813918305597,0.0140000000000002,NaN,NaN,0.998853425941238,1.1494591,0,188682226496
12012001,Clean,0,0.2,Causal-Broadcast,0.08192,0.0521703719229628,0.533602324831885,0,0.0739213025780189,0.139999999999999,0.140000000000001,0.0989416553595657,0.0250203527815468,534,639,533,632,1040,1412,1181,231,207,0.162863886703383,0,0,105,0,2,32,0,0,0,0,632,376,0,1222,1040,182,0.0971666666666647,0.105916666666667,0.639,0.632,0.0240640000000001,0.2542,44.4166666666667,98.4166666666667,86.6666666666667,0.00446262785208501,0.0149999999999998,0.00612531752751905,0.0170000000000012,0.0251711538461539,0.0429999999999993,0.998432530268684,2.5844033,0,188682226496
12012001,Clean,0,0.4,Periodic-P10,0.05184,0.0756846849396101,0.502760193291637,0,0.107734056987788,0.28,0.4,NaN,NaN,600,1408,415,0,0,3103,919,2184,993,0.705255681818182,0,0,808,0,1,32,0,0,0,0,0,0,0,0,0,0,0.0680833333333334,0.11733333333333,1.40799999999996,0,0,0.281599999999991,34.5833333333333,76.5833333333333,0,0.00305113636363647,0.0080000000000009,0.00603590859630035,0.0119999999999999,NaN,NaN,0.996932071430639,1.7500719,0,188682226496
12012001,Clean,0,0.4,State-event,0.05184,0.0893805716276864,0.487461074400518,0,0.139737675260063,0.26,0.260000000000002,NaN,NaN,304,344,300,0,0,751,659,92,44,0.127906976744186,0,0,40,0,1,32,0,0,0,0,0,0,0,0,0,0,0.0268333333333334,0.0286666666666667,0.344,0,0,0.0688000000000001,25,54.9166666666667,0,0.00172965116279077,0.006000000000002,0.00278148710166919,0.00800000000000001,NaN,NaN,0.998336106489185,1.1156332,0,188682226496
12012001,Clean,0,0.4,Causal-Broadcast,0.05184,0.0520090547696136,0.533504554562495,0,0.0714337403889641,0.139999999999999,0.16,0.108177295341474,0.0367435549525102,574,835,552,640,966,1852,1220,632,473,0.320677966101695,0,0,261,0,1,32,0,0,0,0,640,476,0,1329,966,363,0.101833333333331,0.122916666666667,0.835000000000001,0.64,0.0304640000000002,0.295,46,101.666666666667,80.5,0.00193084745762715,0.00600000000000023,0.00365245901639342,0.0080500000000008,0.0205817805383024,0.0310000000000006,0.999127783060629,2.7456019,0,188682226496
12012001,Clean,0,1,Periodic-P10,0,1.73723982506985,0.544841883628634,0,10,11.8,11.96,NaN,NaN,600,1800,0,0,0,3960,0,3960,1800,1,0,0,1200,0,1,32,0,0,0,0,0,0,0,0,0,0,0.03,0.149999999999993,1.79999999999991,0,0,0.359999999999983,0,0,0,0.00100000000000013,0.00200000000000067,NaN,NaN,NaN,NaN,0,1.7419944,0,188682226496
