seed,family,point,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL,periodicRateHz,epsP
1,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
2,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
3,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
4,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
5,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
6,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
7,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
8,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
9,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
10,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
11,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
12,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
13,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
14,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
15,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
16,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
17,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
18,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
19,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
20,Periodic,p1,Clean,0.197899580674371,0.259749984952242,0.346975134135911,0.249782016348774,2,720,1,0,0,1,0,2,0.01
1,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
2,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
3,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
4,State-event,p1,Clean,0.0225587272647658,0.0320633928443131,0.570440976836556,0.03,18.8166666666667,6774,1,0,0,0,0,2,0.01
