stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,route,accessDesign,ackDesign,coreFlag,channelRegime,contextModifier,basePAccess,dataFrameSlots,calibratedAckSuccessMean,calibrationSource,CONTEXT_ACK_EVALUATED,CONTEXT_ACK_PERMITTED,CONTEXT_ACK_BLOCKED_FEASIBILITY,CONTEXT_ACK_BLOCKED_VALUE,serviceCertificateEnabled,serviceCertificateFeasible,serviceModel,successfulUpdateRateHz,requiredUpdateRateHz,serviceRatio,backgroundSurvival,dataSuccessEstimate,freshnessHeadroomEnabled
development-amendment-3,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0527164164403212,0.53329695528102,0,0,9.63996476999559,12.2759361050405,0,1.03666389829442,0.0701050304035378,0.140000000000001,0.198400000000001,0.24,0.137545605306799,0.0674405749032615,705,824,669,53,748,1511,1162,349,955,748,207,0,0,0,130,0.148232611174458,0,3,122,0,2,32,32,0,0,0,0,53,844,3,0.261666666666646,53,24,0,0.229512240648887,0.280861902486364,0,0,0,0,0,0.283083333333334,3.296,0.101,0.216064000000002,0,0,0.679400000000001,55.75,96.8333333333333,62.3333333333333,0.00702280501710383,0.022,0.0445307486631017,0.0960000000000001,0.989314647597785,1823,111,0.0965441579813494,0.0900900900900901,0.09568071988002,0.0983436093984336,4.6556795,0,666551617013,21191278076,105363559,0,189937008,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,77,53,0,24,1,1,symmetric p-persistent CSMA renewal approximation,24.5193042002546,8.33333333333333,2.94231650403055,1,0.903,1
development-amendment-3,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0789271318446209,0.500273373301653,0,0,9.73738013114394,12.5101330742861,0,1.03644849137621,0.116130458817026,0.26,0.34,0.5,0.185826423438364,0.0696959646213378,921,885,522,134,581,1621,912,709,960,581,379,0,0,0,359,0.352306182531894,0,344,309,12,2,32,32,0,0,0,0,134,785,420,0.271916666666642,139,142,0,0.257745170999201,0.353942101357511,0,0,0,0,0,0.3095,3.54,0.174,0.200960000000002,0,0,0.742800000000001,43.5,76,48.4166666666667,0.025550539744848,0.0652,0.067724612736661,0.143000000000001,0.987869339810753,1906,175,0.0965372507869885,0.137142857142857,0.09568071988002,0.0983436093984336,4.92642260000001,0,666551617013,21191278076,105363559,0,189963879,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,281,139,0,142,1,1,independent-start vulnerable-period ALOHA,9.62918160444884,8.33333333333333,1.15550179253386,1,0.903,1
development-amendment-3,16024001,n5-moderate-bg30,N5 Moderate bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0800013318694023,0.496153431989371,0,0,9.85265545509934,12.396340118501,0,1.03649173874964,0.108645660585959,0.259999999999999,0.32,0.4,0.259082365948037,0.150436705362079,1041,2133,455,0,360,3889,808,3081,1588,360,1228,0,0,0,1660,0.778246601031411,0,212,1304,24,1,32,32,0,0,0,0,0,1588,193,0.744583333333358,0,24,0,0.689235805155965,0.750537112726795,0,0,0,0,0,0.710999999999959,8.5319999999995,0,0.406528,3.64399999999965,1435,1.7063999999999,37.9166666666667,67.3333333333333,30,0.0187257383966246,0.0474000000000005,0.0591527777777779,0.13,0.983935742971888,4447,0,0.0919721160332809,0,0.09568071988002,0.0983436093984336,5.24877089999999,0,666551617013,21191278076,105363559,0,190154235,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,24,0,24,0,1,0,symmetric p-persistent CSMA renewal approximation,5.88708493848112,8.33333333333333,0.706450192617734,0.2401,0.903,1
development-amendment-3,16024001,n5-moderate-bg30,N5 Moderate bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.212154315950611,0.370395324586035,1,0,9.85912325687821,13.1882755449549,0,1.03624070936998,0.340320619126589,0.951999999999998,1.22,1.38,0.758153676064124,0.417833056937534,1144,1441,156,0,105,2614,274,2340,975,105,870,0,0,0,1278,0.886884108258154,0,808,1108,45,1,32,32,0,0,0,0,0,975,679,0.572833333333371,0,37,0,0.576579900927649,0.6489493485841,0,0,0,0,0,0.480333333333317,5.76399999999981,0,0.249600000000003,3.64399999999965,1117,1.15279999999996,13,22.8333333333333,8.75,0.0250083275503124,0.0579999999999998,0.167076190476191,0.4006,0.974609531437725,2949,0,0.105120379789759,0,0.09568071988002,0.0983436093984336,4.4015218,0,666551617013,21191278076,105363559,0,190181106,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,37,0,37,0,1,0,independent-start vulnerable-period ALOHA,2.31196650322817,8.33333333333333,0.27743598038738,0.2401,0.903,1
development-amendment-3,16024001,n5-stressed-bg0,N5 Stressed bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0623222494886083,0.520223076346408,0,0,9.79011355950873,12.3640851426208,0,1.03663976936791,0.0903703703703703,0.239999999999999,0.358400000000001,0.520000000000001,0.198253178551686,0.107882808181316,850,989,725,23,559,1831,1103,728,969,559,410,0,0,0,152,0.150197628458498,0,7,146,0,2,32,32,0,0,0,0,23,917,5,0.307666666666641,23,32,0,0.269860360498507,0.339141447678661,0,0,0,0,0,0.3335,3.956,0.046,0.234752000000003,0,0,0.800400000000001,60.4166666666667,91.9166666666667,46.5833333333333,0.00722233201581039,0.0220000000000002,0.0438067978533096,0.1013,0.958828519048879,2161,52,0.305876908838501,0.307692307692308,0.303976003999333,0.307495417430428,5.0400851,0,666551617013,21820213858,110997405,0,192647432,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,55,23,0,32,1,1,symmetric p-persistent CSMA renewal approximation,19.2787441663131,8.33333333333333,2.31344929995757,1,0.71,1
development-amendment-3,16024001,n5-stressed-bg0,N5 Stressed bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0869791401005178,0.486984622249992,0,0,9.73773660739004,12.4492909075007,0,1.03639867344304,0.129242675511332,0.32,0.44,0.540000000000001,0.27216141514649,0.142918739635158,1046,1004,529,0,398,1846,817,1029,915,398,517,0,0,0,389,0.387450199203187,0,409,369,9,1,32,32,0,0,0,0,0,915,437,0.290833333333306,0,322,0,0.28864366509345,0.360185802210128,0,0,0,0,0,0.334666666666667,4.016,0,0.234240000000003,0,0,0.8032,44.0833333333333,68.0833333333333,33.1666666666667,0.023784860557769,0.056,0.0732688442211057,0.162,0.9641212037691,2177,0,0.300413412953606,0,0.303976003999333,0.307495417430428,5.0561276,0,666551617013,21820213858,110997405,0,192674303,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,322,0,322,0,1,0,independent-start vulnerable-period ALOHA,7.5711173191126,8.33333333333333,0.908534078293511,1,0.71,1
development-amendment-3,16024001,n5-stressed-bg30,N5 Stressed bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0905830648349342,0.48364028414029,0,0,9.85198588519784,12.3794858858684,0,1.0364728938971,0.146003316749585,0.380000000000001,0.5,0.74,0.416428966279713,0.270425649530127,1131,2245,427,0,238,4077,687,3390,1426,238,1188,0,0,0,1748,0.778619153674833,0,264,1378,30,1,32,32,0,0,0,0,0,1426,212,0.767000000000012,0,5,0,0.720499067741436,0.793930290764591,0,0,0,0,0,0.748333333333288,8.97999999999946,0,0.365055999999999,3.64399999999965,1486,1.79599999999989,35.5833333333333,57.25,19.8333333333333,0.0180467706013364,0.0439999999999996,0.0589789915966388,0.124300000000001,0.931509438782027,4606,0,0.286799826313504,0,0.303976003999333,0.307495417430428,5.0964176,0,666551617013,21820213858,110997405,0,192864659,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,5,0,5,0,1,0,symmetric p-persistent CSMA renewal approximation,4.62882647433178,8.33333333333333,0.555459176919813,0.2401,0.71,1
development-amendment-3,16024001,n5-stressed-bg30,N5 Stressed bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.268414874992886,0.30562434695165,1,0,9.85936151510508,13.191481999631,0,1.03620373328097,0.451818684355998,1.232,2.2584,2.62,0.959635157545605,0.507816473189608,1139,1443,144,0,64,2615,219,2396,827,64,763,0,0,0,1278,0.885654885654886,0,795,1102,45,1,32,32,0,0,0,0,0,827,571,0.573416666666704,0,31,0,0.570463385652212,0.643186615833387,0,0,0,0,0,0.480999999999984,5.77199999999981,0,0.211712000000002,3.64399999999965,1126,1.15439999999996,12,18.25,5.33333333333333,0.0257740817740819,0.0579999999999998,0.178765625,0.59925,0.946417161113647,2924,0,0.299589603283174,0,0.303976003999333,0.307495417430428,4.6256449,0,666551617013,21820213858,110997405,0,192891530,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.2,4,0.71,declared-stationary-profile,31,0,31,0,1,0,independent-start vulnerable-period ALOHA,1.81782526831893,8.33333333333333,0.218139032198272,0.2401,0.71,1
development-amendment-3,16024001,n10-moderate-bg0,N10 Moderate bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,csma,0.1,0.1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0895609988815401,0.510947481264099,0,0,NaN,NaN,NaN,NaN,0.0789860222696043,0.18,0.220000000000001,0.32,0.152333570244018,0.0733475479744138,1537,1804,1349,24,1653,3902,2700,1202,2362,1653,709,0,0,0,417,0.228118161925602,0,122,389,8,2,32,32,0,0,0,0,24,2302,183,0.533333333333363,24,101,0,0.489273001107198,0.583589704318611,0,0,0,0,0,0.605166666666637,7.21599999999965,0.046,0.589311999999999,0,0,1.45239999999993,112.416666666667,225,137.75,0.017246717724289,0.0479999999999999,0.055534180278282,0.113000000000001,0.988597830279391,4525,60,0.103425414364641,0.15,0.0979261789701716,0.097765372437927,6.22851669999999,0,2586250709125,84880623109,410907084,0,278028952,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,125,24,0,101,1,1,symmetric p-persistent CSMA renewal approximation,11.8430902025047,8.33333333333333,1.42117082430056,1,0.903,1
development-amendment-3,16024001,n10-moderate-bg0,N10 Moderate bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.222774754309372,0.381914258982002,1,0,NaN,NaN,NaN,NaN,0.208144989339019,0.540000000000001,0.779999999999999,1.1,0.395304430229803,0.187159440890784,2099,1327,648,0,673,2809,1274,1535,1467,673,794,0,0,0,649,0.489073097211756,0,1371,607,33,1,32,32,0,0,0,0,0,1467,1717,0.369666666666644,0,205,0,0.363360562460988,0.421095053408866,0,0,0,0,0,0.442333333333322,5.30799999999986,0,0.375552,0,0,1.06159999999997,54,106.166666666667,56.0833333333333,0.0265267520723438,0.0579999999999998,0.111521545319465,0.2582,0.990292910711759,3170,0,0.109779179810726,0,0.0979261789701716,0.097765372437927,5.4437958,0,2586250709125,84880623109,410907084,0,277518421,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,205,0,205,0,1,0,independent-start vulnerable-period ALOHA,4.77982735271767,8.33333333333333,0.57357928232612,1,0.903,1
development-amendment-3,16024001,n10-moderate-bg30,N10 Moderate bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,csma,0.1,0.1,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.288431253795914,0.324570065616575,1,0,NaN,NaN,NaN,NaN,0.282530206112296,0.82,1.02,1.24,0.759639895759299,0.477109689647004,2115,3101,476,0,363,6578,940,5638,2487,363,2124,0,0,0,2611,0.841986455981941,0,1224,2215,81,1,32,32,0,0,0,0,0,2487,1195,0.857833333333294,0,6,0,0.858668821481893,0.891173282456186,0,0,0,0,0,1.03366666666659,12.4039999999991,0,0.636671999999999,3.51699999999967,1985,2.48079999999982,39.6666666666667,78.3333333333333,30.25,0.0258439213157047,0.0560000000000009,0.104592286501378,0.227300000000001,0.986142061281337,7206,0,0.101304468498473,0,0.0979261789701716,0.097765372437927,6.0386985,0,2586250709125,84880623109,410907084,0,278246237,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,6,0,6,0,1,0,symmetric p-persistent CSMA renewal approximation,2.84352595762138,8.33333333333333,0.341223114914565,0.2401,0.903,1
development-amendment-3,16024001,n10-moderate-bg30,N10 Moderate bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.55784367958127,0.150222400533822,1,0,NaN,NaN,NaN,NaN,0.611201137171287,1.62,1.996,2.36,1.79471689173182,1.18351575456053,1855,1532,177,0,145,3223,335,2888,1325,146,1179,0,0,0,1349,0.880548302872063,0,1557,1240,44,1,32,32,0,0,1,0,0,1325,1511,0.587333333333375,0,33,0,0.590675396250541,0.650965950081247,0,0,0,0,0,0.510666666666647,6.12799999999977,0,0.3392,3.51699999999967,1135,1.22559999999995,14.75,27.9166666666667,12.0833333333333,0.0335946475195824,0.0760000000000005,0.324303448275862,0.915800000000001,0.989857819905213,3520,0,0.1125,0,0.0979261789701716,0.097765372437927,3.9214772,0,2586250709125,84880623109,410907084,0,277735706,context-aware-v3,frame-aware,service-certificate-freshness-value,1,moderate,nominal,0.1,4,0.903,declared-stationary-profile,33,0,33,0,1,0,independent-start vulnerable-period ALOHA,1.14763654738751,8.33333333333333,0.137716385686501,0.2401,0.903,1
development-amendment-3,16024001,n10-stressed-bg0,N10 Stressed bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,csma,0.1,0.1,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.10988998156175,0.488242991234495,0,0,NaN,NaN,NaN,NaN,0.102293295427624,0.240000000000002,0.376000000000003,0.740000000000002,0.213603411513859,0.111310116086236,1900,2310,1379,0,1185,5005,2374,2631,2502,1185,1317,0,0,0,760,0.329004329004329,0,289,701,13,1,32,32,0,0,0,0,0,2502,336,0.633000000000059,0,61,0,0.609307191631323,0.691131802378364,0,0,0,0,0,0.769999999999952,9.23999999999943,0,0.640511999999997,0,0,1.84799999999989,114.916666666667,197.833333333333,98.75,0.0185900432900434,0.0500000000000004,0.0586835443037976,0.119799999999999,0.976818525044047,5698,0,0.294313794313794,0,0.299465922346276,0.296874687552075,6.4881365,0,2586250709125,87285331362,419797754,0,284064652,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,61,0,0,61,1,1,symmetric p-persistent CSMA renewal approximation,9.31184279488188,8.33333333333333,1.11742113538583,1,0.71,1
development-amendment-3,16024001,n10-stressed-bg0,N10 Stressed bg0,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.257476595293691,0.349147381120163,1,0,NaN,NaN,NaN,NaN,0.251641791044776,0.66,0.92,1.18,0.537706704572376,0.286064913527601,2154,1359,582,0,469,2851,990,1861,1294,469,825,0,0,0,691,0.508462104488595,0,1425,637,39,1,32,32,0,0,0,0,0,1294,1566,0.373583333333312,0,132,0,0.366398124590417,0.426908343640155,0,0,0,0,0,0.452999999999987,5.43599999999984,0,0.331264000000001,0,0,1.08719999999997,48.5,82.5,39.0833333333333,0.0258388520971304,0.0579999999999998,0.126835820895522,0.303,0.981467315716273,3166,0,0.288376500315856,0,0.299465922346276,0.296874687552075,5.5269171,0,2586250709125,87285331362,419797754,0,283554121,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,132,0,132,0,1,0,independent-start vulnerable-period ALOHA,3.75822527179351,8.33333333333333,0.450987032615222,1,0.71,1
development-amendment-3,16024001,n10-stressed-bg30,N10 Stressed bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,csma,0.1,0.1,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.334296597161637,0.279088887068903,1,0,NaN,NaN,NaN,NaN,0.387093105899077,1.16,1.6,1.96,1.34387585880123,0.956782752902156,2094,3149,428,0,230,6693,737,5956,2011,230,1781,0,0,0,2666,0.846617973959987,0,1183,2243,82,1,32,32,0,0,0,0,0,2011,959,0.862416666666625,0,1,0,0.868581892976093,0.904067004683183,0,0,0,0,0,1.04966666666659,12.5959999999991,0,0.514815999999995,3.51699999999967,2023,2.51919999999981,35.6666666666667,61.4166666666667,19.1666666666667,0.02631279771356,0.0570000000000004,0.113152173913044,0.26255,0.974797786292039,7164,0,0.290898939140145,0,0.299465922346276,0.296874687552075,5.5482168,0,2586250709125,87285331362,419797754,0,284281937,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,1,0,1,0,1,0,symmetric p-persistent CSMA renewal approximation,2.23577345505114,8.33333333333333,0.268292814606137,0.2401,0.71,1
development-amendment-3,16024001,n10-stressed-bg30,N10 Stressed bg0.30,EXP18A3 freshness headroom,context-aware-v3,1,0.3,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,10,ring2,di,aloha,0.0142857142857143,0.0142857142857143,0.3,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.630064376878063,0.185670776775009,1,0,NaN,NaN,NaN,NaN,0.690959488272921,1.82,2.52,3.06,2.05565979625681,1.36470030798389,1788,1512,160,0,96,3178,265,2913,1107,98,1009,0,0,0,1326,0.876984126984127,0,1465,1196,56,1,32,32,0,0,2,0,0,1107,1212,0.585333333333374,0,36,0,0.591498313697764,0.651558338725266,0,0,0,0,0,0.503999999999981,6.04799999999978,0,0.283392000000002,3.51699999999967,1114,1.20959999999996,13.3333333333333,22.0833333333333,8,0.0349953703703705,0.0830000000000002,0.321947916666667,0.9135,0.989945862335654,3426,0,0.295388207822534,0,0.299465922346276,0.296874687552075,5.2573103,0,2586250709125,87285331362,419797754,0,283771406,context-aware-v3,frame-aware,service-certificate-freshness-value,1,stressed,nominal,0.1,4,0.71,declared-stationary-profile,36,0,36,0,1,0,independent-start vulnerable-period ALOHA,0.902349887757622,8.33333333333333,0.108281986530915,0.2401,0.71,1
development-amendment-3,16024001,n5-moderate-reverse,N5 Moderate reverse-asymmetric,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.363333333333333,0.0277777777777778,0.0454545454545455,0.0540225275668629,0.531197479577509,0,0,9.63996476999559,12.2759361050405,0,1.03666135296764,0.0741404090657821,0.16,0.220000000000001,0.380000000000001,0.141558872305141,0.0674184632393589,723,857,673,49,722,1562,1167,395,974,722,252,0,0,0,143,0.157836644591611,0,3,137,0,2,32,32,0,0,0,0,49,868,3,0.269083333333311,49,18,0,0.241132024601145,0.303511127569901,0,0,0,0,0,0.293416666666667,3.428,0.0930000000000001,0.222208000000002,0,0,0.704200000000001,56.0833333333333,97.25,60.1666666666667,0.0071379690949228,0.0219999999999998,0.0433213296398893,0.09195,0.986268468213442,1897,106,0.0985767000527148,0.283018867924528,0.09568071988002,0.273117813697717,2.9878297,0,666551617013,21458493885,109459431,0,190619118,context-aware-v3,frame-aware,service-certificate-freshness-value,0,moderate,reverse-asymmetric,0.2,4,0.903,nominal-moderate-mismatch,67,49,0,18,1,1,symmetric p-persistent CSMA renewal approximation,24.5193042002546,8.33333333333333,2.94231650403055,1,0.903,1
development-amendment-3,16024001,n5-moderate-reverse,N5 Moderate reverse-asymmetric,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.363333333333333,0.0277777777777778,0.0454545454545455,0.0797868131887393,0.499301666392048,0,0,9.73738013114394,12.4115343772944,0,1.03642647013617,0.118872305140962,0.279999999999999,0.36,0.5,0.227462686567164,0.108590381426202,955,973,529,102,531,1785,911,874,1022,531,491,0,0,0,437,0.406511627906977,0,365,385,14,2,32,32,0,0,0,0,102,878,405,0.288999999999973,110,173,0,0.29466438517805,0.397776593965478,0,0,0,0,0,0.33625,3.892,0.143,0.224768000000002,0,0,0.807000000000001,44.0833333333333,75.9166666666667,44.25,0.0269758139534885,0.0670000000000002,0.0688606403013183,0.140499999999999,0.989764266893027,2090,144,0.102392344497608,0.291666666666667,0.09568071988002,0.273117813697717,3.198853,0,666551617013,21458493885,109459431,0,190645989,context-aware-v3,frame-aware,service-certificate-freshness-value,0,moderate,reverse-asymmetric,0.2,4,0.903,nominal-moderate-mismatch,283,110,0,173,1,1,independent-start vulnerable-period ALOHA,9.62918160444884,8.33333333333333,1.15550179253386,1,0.903,1
development-amendment-3,16024001,n5-moderate-hidden,N5 Moderate hidden-terminal,EXP18A3 freshness headroom,context-aware-v3,1,0,context-aware-broadcast,Context-aware service and freshness headroom,adaptive,5,ring2,6dof,csma,0.2,0.2,0,0.6,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0580222335622422,0.523627352789801,0,0,9.81017725569219,12.3455835319439,0,1.03651469306623,0.0816804864566057,0.18,0.34,0.52,0.166080707573245,0.0844002211166391,858,1476,576,36,578,2667,1008,1659,1286,578,708,0,0,0,873,0.577380952380952,0,63,681,12,2,32,32,0,0,0,0,36,1212,28,0.38483333333332,36,18,0,0.194166500640053,0.355924520604149,0,0,0,0,0,0.497666666666649,5.90399999999979,0.068,0.310272000000002,0,0,1.19439999999996,48,84,48.1666666666667,0.0101415343915345,0.0290000000000006,0.0474169550173011,0.101000000000001,0.990080572963295,3131,74,0.0894282976684765,0.0540540540540541,0.09568071988002,0.0983436093984336,3.3317575,0,666551617013,21191278076,105363559,0,189943800,context-aware-v3,frame-aware,service-certificate-freshness-value,0,moderate,hidden-terminal,0.2,4,0.903,declared-stationary-profile,54,36,0,18,1,1,symmetric p-persistent CSMA renewal approximation,24.5193042002546,8.33333333333333,2.94231650403055,1,0.903,1
